position,post_id,post_by,post_text,post_published,comment_id,comment_by,is_reply,comment_message,comment_published,comment_like_count,attachment_type,attachment_url
97_1,25567278752_10156555757103753,967a2451efaaefd1c8ac9ff9390073528b008a97,Mexi-CAN-s!,2019-06-12T04:34:06+0000,10156555757103753_10156555880388753,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,I fixed the headline (apologies for the typo),2019-06-12T06:54:23+0000,23,photo,https://www.facebook.com/photo.php?fbid=10157081742965619&set=p.10157081742965619&type=3
80_0,25567278752_10156561416573753,967a2451efaaefd1c8ac9ff9390073528b008a97,Resist.,2019-06-14T18:32:25+0000,10156561416573753_10156561433113753,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,"yep, happened some years ago (last heatwave over here in UK) with a bunch of kids sent home from a posh school for wearing black shorts, a few of them borrowed some skirts from female school mates and went to school like that, and nobody really could complain, as they were uniform skirts...",2019-06-14T18:40:47+0000,10,,
3_6,25567278752_10156598387653753,967a2451efaaefd1c8ac9ff9390073528b008a97,The best predictor of future behavior is past behavior. At the same time  we believe we shouldn t hold people to their past choices if there present actions indicate otherwise. Context is key. And...as one visitor pointed out this is indeed a biased piece. All that said it is a must read worth investigating. We will be sharing criticisms candidates to inform you to make your own choices #dumptrump #adiostrump,2019-06-30T02:07:32+0000,10156598387653753_10156598438818753,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,"Sorry, but this is a biased hit piece, and his “references” almost never support the claims he’s making. He’s clearly a Bernie campaigner, doing his best to prop us his candidate after a lackluster debate. The omission of criticism for major candidates should make the fact that this is just propaganda pretty clear here, to any objective reader.  I’d expect better from this page.",2019-06-30T02:39:22+0000,7,,
66_2,25567278752_10156568986098753,967a2451efaaefd1c8ac9ff9390073528b008a97,This breaks my heart  but I refuse to let it harden. Eric Garner did not die of  obesity   he died at the hands of officers who held him down to the point where he couldn t breathe. Following that logic  those who have problems breathing due to asthma  COPD  Sinus issues  Pulmonary edema  etc. cause their own deaths when police kill them with excessive use of force? No one should be blamed for their death because of their size or health condition. No. One. #fatphobia #fatdiscrimination #fatoppression,2019-06-17T23:15:50+0000,10156568986098753_10156569070558753,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,"Sooooooo, for clarity: If people start killing off fat rednecks and other racist, they good? Asking for a friend. #ThrowTheWholeMoralCompassAway #DontLookForTheLine #ItsGone",2019-06-18T00:05:38+0000,6,,
164_4,25567278752_10156505308998753,967a2451efaaefd1c8ac9ff9390073528b008a97,A relative posted this. I m reposting so that we all are aware of the  argument  against  My body  my choice. ,2019-05-22T18:35:16+0000,10156505308998753_10156505714403753,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,"Wellll, it starts with the GLARING fallacy that an embryo is a child.  So there's that rebuttal.",2019-05-22T22:38:53+0000,6,,
164_7,25567278752_10156505308998753,967a2451efaaefd1c8ac9ff9390073528b008a97,A relative posted this. I m reposting so that we all are aware of the  argument  against  My body  my choice. ,2019-05-22T18:35:16+0000,10156505308998753_10156505461818753,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,"“Hi I choose to be a breeder, so you must too.” That’s all I got from this. Congrats on more kids. Let’s accept that not everyone wants 7 kids nor should everyone want 7 kids",2019-05-22T19:56:55+0000,6,,
80_1,25567278752_10156561416573753,967a2451efaaefd1c8ac9ff9390073528b008a97,Resist.,2019-06-14T18:32:25+0000,10156561416573753_10156561501603753,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Why would you care what people wear in a friggin Call Center of all places?,2019-06-14T19:19:02+0000,5,,
80_18,25567278752_10156561416573753,967a2451efaaefd1c8ac9ff9390073528b008a97,Resist.,2019-06-14T18:32:25+0000,10156561416573753_10156561437603753,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,https://www.theguardian.com/education/2017/jun/22/teenage-boys-wear-skirts-to-school-protest-no-shorts-uniform-policy,2019-06-14T18:41:50+0000,5,share,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.theguardian.com%2Feducation%2F2017%2Fjun%2F22%2Fteenage-boys-wear-skirts-to-school-protest-no-shorts-uniform-policy&h=AT1D4ItvtNnS0IHsgDEtBkJX1Ac9SXhetYevOa3zn1Hh8_HspLvdmyzk_hesoizNRRRWtwyuKibzyxe8SRuOf4mheIelWTobnWsd3Fs9FgFopoOcWBP258X3jugxyoBL&s=1
164_3,25567278752_10156505308998753,967a2451efaaefd1c8ac9ff9390073528b008a97,A relative posted this. I m reposting so that we all are aware of the  argument  against  My body  my choice. ,2019-05-22T18:35:16+0000,10156505308998753_10156505331883753,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,"Not sure why I watched that.  Some of her arguments sound reasonable, but one thing that she got wrong: a father certainly can opt out of his responsibilities if he so chooses.  He can give up his parental rights, and then he does not have to pay child support or see the kid ever again.  It's kind of like, oh, what do they call it?  Oh, yeah. Adoption.",2019-05-22T18:51:43+0000,5,,
164_9,25567278752_10156505308998753,967a2451efaaefd1c8ac9ff9390073528b008a97,A relative posted this. I m reposting so that we all are aware of the  argument  against  My body  my choice. ,2019-05-22T18:35:16+0000,10156505308998753_10156505420688753,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Women are more important than fetuses. Simple. We exist first and foremost. We are more important and get to decide.,2019-05-22T19:35:25+0000,5,,
