position,post_id,post_by,post_text,post_published,comment_id,comment_by,is_reply,comment_message,comment_published,comment_like_count,attachment_type,attachment_url
146_1,123452516277_10157143686971278,7cc2bc22ef63a0c8ef1273b055a4c06e4a299f3e,Even if you don’t feel any different  you should eat different.,2019-06-18T18:15:00+0000,10157143686971278_10157145701281278,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,"I do not like the use of the word never..... yes we need to be more careful about what we put into our bodies, the older we get.  But to say I can never enjoy a poptart again?? Because of a number.  Sorry.....I will eat things on this list from time to time,  and just hit the gym harder after.",2019-06-18T19:02:45+0000,7,,
139_13,123452516277_10157146069706278,7cc2bc22ef63a0c8ef1273b055a4c06e4a299f3e,You ll rarely find anything fried on the THIS side of the swap  but Chick-fil-A classic sandwich is a more modest indulgence. A worse way to get your fried chicken fix is adding Chick-n-Strips & Avocado Lime Ranch (310 calories). That makes it the most caloric entrée on the menu.,2019-06-19T14:15:00+0000,10157146069706278_10157147673301278,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,How about just don’t ever eat at the anti LGBTQ establishment.,2019-06-19T14:33:08+0000,5,,
206_5,123452516277_10157131008586278,7cc2bc22ef63a0c8ef1273b055a4c06e4a299f3e,FIVE GUYS  menu is high in calories & low in choices  so if you want to escape without consuming more than 600 calories  stick with a little burger with minimal toppings. Their salty spuds offer no nutrients & you ll be hungry soon after eating.,2019-06-13T14:15:00+0000,10157131008586278_10157132919006278,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,How about just staying away from ALL fast food. That will be better!,2019-06-13T14:54:56+0000,5,,
139_4,123452516277_10157146069706278,7cc2bc22ef63a0c8ef1273b055a4c06e4a299f3e,You ll rarely find anything fried on the THIS side of the swap  but Chick-fil-A classic sandwich is a more modest indulgence. A worse way to get your fried chicken fix is adding Chick-n-Strips & Avocado Lime Ranch (310 calories). That makes it the most caloric entrée on the menu.,2019-06-19T14:15:00+0000,10157146069706278_10157147657046278,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,"Leave the dressing off (or choose a better one) and get grilled strips. Veggies are always a better choice. Choose nutrient dense foods, not empty calories.",2019-06-19T14:26:04+0000,4,,
139_8,123452516277_10157146069706278,7cc2bc22ef63a0c8ef1273b055a4c06e4a299f3e,You ll rarely find anything fried on the THIS side of the swap  but Chick-fil-A classic sandwich is a more modest indulgence. A worse way to get your fried chicken fix is adding Chick-n-Strips & Avocado Lime Ranch (310 calories). That makes it the most caloric entrée on the menu.,2019-06-19T14:15:00+0000,10157146069706278_10157147647016278,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Not eating any Chik-fil-A..yuck!,2019-06-19T14:21:16+0000,4,,
206_6,123452516277_10157131008586278,7cc2bc22ef63a0c8ef1273b055a4c06e4a299f3e,FIVE GUYS  menu is high in calories & low in choices  so if you want to escape without consuming more than 600 calories  stick with a little burger with minimal toppings. Their salty spuds offer no nutrients & you ll be hungry soon after eating.,2019-06-13T14:15:00+0000,10157131008586278_10157133064286278,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,"But, but, but....they are so good😫 Make it your cheat meal and call it a day!",2019-06-13T16:05:32+0000,3,,
9_1,123452516277_10157168171051278,7cc2bc22ef63a0c8ef1273b055a4c06e4a299f3e,Even the most polite customers might be asking these annoying questions.,2019-07-01T02:12:00+0000,10157168171051278_10157176222221278,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Pretty sure since I'm paying for it I'll ask whatever the hell I wanna ask for 😘,2019-07-01T03:12:41+0000,2,,
10_2,123452516277_10157168170166278,7cc2bc22ef63a0c8ef1273b055a4c06e4a299f3e,You ll have perfectly peeled eggs every time!,2019-07-01T01:12:00+0000,10157168170166278_10157176124871278,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,"Steam them, then into ice water. Peel super easy! If youre going to boil them, only simmer, no rolling boil. The movement jiggling around in boiling water makes the shells stick. Steaming you dont have to worry about boiling too hard.",2019-07-01T02:17:24+0000,2,,
36_1,123452516277_10157168148961278,7cc2bc22ef63a0c8ef1273b055a4c06e4a299f3e,These foods could be hazardous to your health.,2019-06-28T18:12:00+0000,10157168148961278_10157170935721278,da39a3ee5e6b4b0d3255bfef95601890afd80709,1,Yes there is. It involves some research that you have to do yourself though if you need additional information. All the products listed in this article are accurate in their description.,2019-06-29T01:02:11+0000,2,,
36_6,123452516277_10157168148961278,7cc2bc22ef63a0c8ef1273b055a4c06e4a299f3e,These foods could be hazardous to your health.,2019-06-28T18:12:00+0000,10157168148961278_10157170102211278,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,"What do yoy mean by ""MAY CAUSE"" is there any clear research on it.",2019-06-28T18:24:52+0000,2,,
