position,post_id,post_by,post_text,post_published,comment_id,comment_by,is_reply,comment_message,comment_published,comment_like_count,attachment_type,attachment_url
0_0,25938310970_10156849603620971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:14:23+0000,10156849603620971_10156849605715971,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,I have always admired her.,2019-06-17T17:15:40+0000,0,,
0_1,25938310970_10156849603620971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:14:23+0000,10156849603620971_10156849624800971,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,"Oh wow, Anderson 😥 May she RIP",2019-06-17T17:28:35+0000,0,,
0_2,25938310970_10156849603620971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:14:23+0000,10156849603620971_10156849635575971,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,So gorgeous,2019-06-17T17:34:53+0000,0,,
0_3,25938310970_10156849603620971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:14:23+0000,10156849603620971_10156850470285971,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,May she rest in peace.  She survived so many storms in her life with elegance.,2019-06-18T00:08:49+0000,0,,
0_4,25938310970_10156849603620971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:14:23+0000,10156849603620971_10156850592075971,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Poor Anderson,2019-06-18T01:34:52+0000,0,,
0_5,25938310970_10156849603620971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:14:23+0000,10156849603620971_10156860309440971,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,I loved her jeans.. only ones that fit me completely. RIP QUEEN,2019-06-22T09:58:37+0000,0,,
0_6,25938310970_10156849603620971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:14:23+0000,10156849603620971_10156874068250971,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,I had 1 pair of her 👖 years ago,2019-06-27T09:32:15+0000,0,,
1_0,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156849582545971,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Stephen Quirk,2019-06-17T17:02:06+0000,1,,
1_1,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156849599200971,da39a3ee5e6b4b0d3255bfef95601890afd80709,1,Forreal lol who named you the best in the word girl?? Ever heard of iron chef America lol,2019-06-17T17:11:13+0000,0,,
1_2,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156849591155971,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Put her on beat bobby flay haha 😀,2019-06-17T17:06:00+0000,2,,
1_3,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156849597610971,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Irma Chavez,2019-06-17T17:10:21+0000,1,,
1_4,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156849598490971,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Tony Toomuch Badgett,2019-06-17T17:10:49+0000,1,,
1_5,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156849624895971,da39a3ee5e6b4b0d3255bfef95601890afd80709,1,"Jennifer Sorbara According also? Really? There’s a link in the post. I bet if you click on it and read the article, you’ll like find out according TO who. 🙄🤦🏻‍♀️",2019-06-17T17:28:39+0000,7,,
1_6,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156849639030971,da39a3ee5e6b4b0d3255bfef95601890afd80709,1,"Suz Ann yeah your so superior because talk and text used the wrong vernacular - do you feel better about yourself now?? I so hope so. Just because a few people in a board room decide she’s the best doesn’t make her the best in the world, since we have so many cuisines that vary even in one culture there is no way to claim she is the best in the world.  But please continue thinking your better then me if it makes your small life more bearable, and I will continue to use talk and text since I don’t currently have use of my hands.  Do you mock everyone with a disability or just online??",2019-06-17T17:37:02+0000,0,,
1_7,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156849685250971,da39a3ee5e6b4b0d3255bfef95601890afd80709,1,"Jennifer Sorbara she is better than you that’s for sure. You can play the disability card all you want, but you came out hard, you got what you deserved. I praise that she is being recognized as successful female in a male dominated industry.",2019-06-17T18:02:56+0000,4,,
1_8,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156849777105971,da39a3ee5e6b4b0d3255bfef95601890afd80709,1,"Ileana N Flores I said two words, according to whom? You took immediate defence and started throwing punches.  If there is an aggressor here it’s certainly not me calm the fuck down. As for the disability card you’re ableist ass just commented on I didn’t play any card I merely stated why I was using talk and text but thanks",2019-06-17T18:51:07+0000,1,,
1_9,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156850644340971,da39a3ee5e6b4b0d3255bfef95601890afd80709,1,This is why people don't like the internet. Y'all find any way to get petty,2019-06-18T02:09:03+0000,0,,
1_10,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156851445295971,da39a3ee5e6b4b0d3255bfef95601890afd80709,1,"The article clearly explains the process in which this was determined. A young woman broke a barrier in a male dominated field. To earn the title of “Best in the World”, she would have to be versatile and skilled in various cuisines.  I’m sorry they didn’t call Jennifer Sorbara for her input on the determination. It must have slipped their minds.",2019-06-18T13:14:55+0000,2,,
1_11,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156851447355971,da39a3ee5e6b4b0d3255bfef95601890afd80709,1,Suz Ann did I ask them to ask me?? I simply asked a question who determined this - take your high horse and shove it,2019-06-18T13:16:34+0000,0,,
1_12,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156855439710971,da39a3ee5e6b4b0d3255bfef95601890afd80709,1,Jennifer Sorbara You’re so bitter.,2019-06-20T06:06:47+0000,2,,
1_13,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156855640155971,da39a3ee5e6b4b0d3255bfef95601890afd80709,1,LaKayla Russell and your a moron,2019-06-20T09:54:35+0000,0,,
1_14,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156849608250971,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,According too??,2019-06-17T17:17:13+0000,1,,
1_15,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156849609285971,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Nicholas,2019-06-17T17:18:01+0000,0,,
1_16,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156849614570971,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Subash Khadka,2019-06-17T17:21:57+0000,0,,
1_17,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156849630825971,da39a3ee5e6b4b0d3255bfef95601890afd80709,1,Isabelle Gap LMAO 😂,2019-06-17T17:32:14+0000,1,,
1_18,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156849942630971,da39a3ee5e6b4b0d3255bfef95601890afd80709,1,Isabelle Gap I was thinking the same thing! 😁,2019-06-17T19:55:34+0000,1,,
1_19,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156849622995971,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,how do they got all chefs in the ENTIRE WORLD?,2019-06-17T17:27:28+0000,4,,
1_20,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156849625915971,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Mary Hdzh,2019-06-17T17:29:13+0000,1,,
1_21,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156849664455971,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Clara Smith-Dawson,2019-06-17T17:50:41+0000,0,,
1_22,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156849677285971,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Hollie Chavez,2019-06-17T17:57:46+0000,0,,
1_23,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156849677690971,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,"How about, good for her! Way to go! Thank you for making this world better! You guys are so hard on others. Is your side of the curb clean?",2019-06-17T17:58:05+0000,19,,
1_24,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156849710845971,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,😍😍😍😍,2019-06-17T18:18:45+0000,0,,
1_25,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156849718295971,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,About time,2019-06-17T18:23:08+0000,0,,
1_26,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156849816950971,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Andromeda Hausser,2019-06-17T19:09:59+0000,0,,
1_27,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156849828375971,da39a3ee5e6b4b0d3255bfef95601890afd80709,1,Anna Cobarrubia no way!! This is amazing!,2019-06-17T19:14:41+0000,0,,
1_28,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156849829675971,da39a3ee5e6b4b0d3255bfef95601890afd80709,1,"Liliana Owen-Rodriguez Right?!? I was pretty freaking stoked when I saw it, had to share with you!",2019-06-17T19:15:27+0000,1,,
1_29,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156849826345971,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,"Liliana Owen-Rodriguez Have you seen this, I know you'll appreciate it like I did. Pretty damn cool❤️",2019-06-17T19:13:35+0000,0,,
1_30,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156849854105971,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,William Dance,2019-06-17T19:26:51+0000,1,,
1_31,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156849855160971,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Janet Allan,2019-06-17T19:27:25+0000,0,,
1_32,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156850178945971,da39a3ee5e6b4b0d3255bfef95601890afd80709,1,Courtney Maiorino goalssss,2019-06-17T21:52:11+0000,0,,
1_33,25938310970_10156849578575971,378620c1b62d52ef66af775c68826a496c95cde6,I AM THAT GIRL,2019-06-17T17:00:02+0000,10156849578575971_10156849872735971,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Christina Maiorino 🙌🏻👯‍♀️,2019-06-17T19:33:26+0000,0,,
