position,post_id,post_by,post_text,post_published,comment_id,comment_by,is_reply,comment_message,comment_published,comment_like_count,attachment_type,attachment_url
2_0,201907573156278_2744047352275608,2bd3b91347affd2685b0c821680306b33b6cf4ab,“How femininity is policed and de/valued by society across various bodies tends to be awful and restrictive. However  femme identities themselves feel divinely infinite. They transcend a simple preference for stereotypically feminine things. For me  a femme identification is a declaration of an intentional crafting of  and relationship with  gender.”  [image description: A Black person with a large curly Afro lies down. They are wearing makeup  red lipstick  and a denim shirt while smiling at the camera. Source: Pexels],2019-06-29T23:09:37+0000,2744047352275608_2750033408343669,da39a3ee5e6b4b0d3255bfef95601890afd80709,1,Alayna Shaw solid share!,2019-07-03T04:20:32+0000,0,,
2_1,201907573156278_2744047352275608,2bd3b91347affd2685b0c821680306b33b6cf4ab,“How femininity is policed and de/valued by society across various bodies tends to be awful and restrictive. However  femme identities themselves feel divinely infinite. They transcend a simple preference for stereotypically feminine things. For me  a femme identification is a declaration of an intentional crafting of  and relationship with  gender.”  [image description: A Black person with a large curly Afro lies down. They are wearing makeup  red lipstick  and a denim shirt while smiling at the camera. Source: Pexels],2019-06-29T23:09:37+0000,2744047352275608_2749091585104518,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Jennifer Negrita Goodrich,2019-07-02T15:28:05+0000,0,,
4_0,201907573156278_2743494958997514,2bd3b91347affd2685b0c821680306b33b6cf4ab, How femininity is policed and de/valued by society across various bodies tends to be awful and restrictive. However  femme identities themselves feel divinely infinite. They transcend a simple preference for stereotypically feminine things. For me  a femme identification is a declaration of an intentional crafting of  and relationship with  gender.   [image description: A Black person with a large curly Afro lies down. They are wearing makeup  red lipstick  and a denim shirt while smiling at the camera. Source: Pexels],2019-06-29T16:34:11+0000,2743494958997514_2743826612297682,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,"I went through this when I was learning more about myself too- the CHOICE to wear pink, lipstick, makeup, etc. is empowered. The expectation that I wear pink, lipstick, makeup, etc. is oppression. It took a while to figure that out and forgive myself.",2019-06-29T20:15:37+0000,2,,
4_1,201907573156278_2743494958997514,2bd3b91347affd2685b0c821680306b33b6cf4ab, How femininity is policed and de/valued by society across various bodies tends to be awful and restrictive. However  femme identities themselves feel divinely infinite. They transcend a simple preference for stereotypically feminine things. For me  a femme identification is a declaration of an intentional crafting of  and relationship with  gender.   [image description: A Black person with a large curly Afro lies down. They are wearing makeup  red lipstick  and a denim shirt while smiling at the camera. Source: Pexels],2019-06-29T16:34:11+0000,2743494958997514_2744035772276766,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,I love this! (But I still despise the socially imposed binary.),2019-06-29T23:02:34+0000,1,,
4_2,201907573156278_2743494958997514,2bd3b91347affd2685b0c821680306b33b6cf4ab, How femininity is policed and de/valued by society across various bodies tends to be awful and restrictive. However  femme identities themselves feel divinely infinite. They transcend a simple preference for stereotypically feminine things. For me  a femme identification is a declaration of an intentional crafting of  and relationship with  gender.   [image description: A Black person with a large curly Afro lies down. They are wearing makeup  red lipstick  and a denim shirt while smiling at the camera. Source: Pexels],2019-06-29T16:34:11+0000,2743494958997514_2743995732280770,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,I love “femme” as an action verb!,2019-06-29T22:31:12+0000,2,,
4_3,201907573156278_2743494958997514,2bd3b91347affd2685b0c821680306b33b6cf4ab, How femininity is policed and de/valued by society across various bodies tends to be awful and restrictive. However  femme identities themselves feel divinely infinite. They transcend a simple preference for stereotypically feminine things. For me  a femme identification is a declaration of an intentional crafting of  and relationship with  gender.   [image description: A Black person with a large curly Afro lies down. They are wearing makeup  red lipstick  and a denim shirt while smiling at the camera. Source: Pexels],2019-06-29T16:34:11+0000,2743494958997514_2744148265598850,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Hope Duluoz,2019-06-30T00:26:12+0000,1,,
4_4,201907573156278_2743494958997514,2bd3b91347affd2685b0c821680306b33b6cf4ab, How femininity is policed and de/valued by society across various bodies tends to be awful and restrictive. However  femme identities themselves feel divinely infinite. They transcend a simple preference for stereotypically feminine things. For me  a femme identification is a declaration of an intentional crafting of  and relationship with  gender.   [image description: A Black person with a large curly Afro lies down. They are wearing makeup  red lipstick  and a denim shirt while smiling at the camera. Source: Pexels],2019-06-29T16:34:11+0000,2743494958997514_2744499978897012,da39a3ee5e6b4b0d3255bfef95601890afd80709,1,"Because that's how the brain works. Comparison, triangulation, relativity. The problem isnt having categories, the problem is in judging and valuing some categories over others.",2019-06-30T05:10:11+0000,0,,
4_5,201907573156278_2743494958997514,2bd3b91347affd2685b0c821680306b33b6cf4ab, How femininity is policed and de/valued by society across various bodies tends to be awful and restrictive. However  femme identities themselves feel divinely infinite. They transcend a simple preference for stereotypically feminine things. For me  a femme identification is a declaration of an intentional crafting of  and relationship with  gender.   [image description: A Black person with a large curly Afro lies down. They are wearing makeup  red lipstick  and a denim shirt while smiling at the camera. Source: Pexels],2019-06-29T16:34:11+0000,2743494958997514_2744519485561728,da39a3ee5e6b4b0d3255bfef95601890afd80709,1,it’s all still just more labeling. It’s not how the brain works- more like how it’s been programmed.,2019-06-30T05:27:55+0000,0,,
4_6,201907573156278_2743494958997514,2bd3b91347affd2685b0c821680306b33b6cf4ab, How femininity is policed and de/valued by society across various bodies tends to be awful and restrictive. However  femme identities themselves feel divinely infinite. They transcend a simple preference for stereotypically feminine things. For me  a femme identification is a declaration of an intentional crafting of  and relationship with  gender.   [image description: A Black person with a large curly Afro lies down. They are wearing makeup  red lipstick  and a denim shirt while smiling at the camera. Source: Pexels],2019-06-29T16:34:11+0000,2743494958997514_2743845745629102,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Why in the fuck do oeople continue To insist on putting rules and labels on shit?,2019-06-29T20:29:53+0000,0,,
4_7,201907573156278_2743494958997514,2bd3b91347affd2685b0c821680306b33b6cf4ab, How femininity is policed and de/valued by society across various bodies tends to be awful and restrictive. However  femme identities themselves feel divinely infinite. They transcend a simple preference for stereotypically feminine things. For me  a femme identification is a declaration of an intentional crafting of  and relationship with  gender.   [image description: A Black person with a large curly Afro lies down. They are wearing makeup  red lipstick  and a denim shirt while smiling at the camera. Source: Pexels],2019-06-29T16:34:11+0000,2743494958997514_2743509525662724,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Asheia <3,2019-06-29T16:43:48+0000,0,,
