position,post_id,post_by,post_text,post_published,comment_id,comment_by,is_reply,comment_message,comment_published,comment_like_count,attachment_type,attachment_url
0_0,188480801229230_2195376730539617,696b19ae984d9c0f2dd6aa8e154058f9e28dad77,[Lack of Sleep and Hormone Havoc]  Lack of sleep causes hormone havoc  and hormone havoc leads to more sleep issues. So how can you stop this vicious cycle and start sleeping better NOW?  Dr. Brooke of Better By Dr Brooke has some SIMPLE answers for you.,2019-06-30T23:00:00+0000,2195376730539617_2244643255612964,pageowner,1,Thrilled to hear it was helpful for you. <3 Thank YOU!,2019-07-01T14:20:06+0000,0,,
0_1,188480801229230_2195376730539617,696b19ae984d9c0f2dd6aa8e154058f9e28dad77,[Lack of Sleep and Hormone Havoc]  Lack of sleep causes hormone havoc  and hormone havoc leads to more sleep issues. So how can you stop this vicious cycle and start sleeping better NOW?  Dr. Brooke of Better By Dr Brooke has some SIMPLE answers for you.,2019-06-30T23:00:00+0000,2195376730539617_2244188642325092,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,An incredibly informative article.  Thank you xx,2019-07-01T08:22:33+0000,0,,
0_2,188480801229230_2195376730539617,696b19ae984d9c0f2dd6aa8e154058f9e28dad77,[Lack of Sleep and Hormone Havoc]  Lack of sleep causes hormone havoc  and hormone havoc leads to more sleep issues. So how can you stop this vicious cycle and start sleeping better NOW?  Dr. Brooke of Better By Dr Brooke has some SIMPLE answers for you.,2019-06-30T23:00:00+0000,2195376730539617_2244643388946284,pageowner,1,So glad you enjoyed it! <3,2019-07-01T14:20:12+0000,0,,
0_3,188480801229230_2195376730539617,696b19ae984d9c0f2dd6aa8e154058f9e28dad77,[Lack of Sleep and Hormone Havoc]  Lack of sleep causes hormone havoc  and hormone havoc leads to more sleep issues. So how can you stop this vicious cycle and start sleeping better NOW?  Dr. Brooke of Better By Dr Brooke has some SIMPLE answers for you.,2019-06-30T23:00:00+0000,2195376730539617_2244292285648061,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Amazing thank you,2019-07-01T09:55:03+0000,0,,
0_4,188480801229230_2195376730539617,696b19ae984d9c0f2dd6aa8e154058f9e28dad77,[Lack of Sleep and Hormone Havoc]  Lack of sleep causes hormone havoc  and hormone havoc leads to more sleep issues. So how can you stop this vicious cycle and start sleeping better NOW?  Dr. Brooke of Better By Dr Brooke has some SIMPLE answers for you.,2019-06-30T23:00:00+0000,2195376730539617_2244555415621748,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,I struggle with restless leg syndrome which makes it very hard to sleep. Do you have any suggestions on how to deal with this?,2019-07-01T13:20:36+0000,0,,
0_5,188480801229230_2195376730539617,696b19ae984d9c0f2dd6aa8e154058f9e28dad77,[Lack of Sleep and Hormone Havoc]  Lack of sleep causes hormone havoc  and hormone havoc leads to more sleep issues. So how can you stop this vicious cycle and start sleeping better NOW?  Dr. Brooke of Better By Dr Brooke has some SIMPLE answers for you.,2019-06-30T23:00:00+0000,2195376730539617_2244144222329534,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Nicole Fraser,2019-07-01T07:41:22+0000,1,,
0_6,188480801229230_2195376730539617,696b19ae984d9c0f2dd6aa8e154058f9e28dad77,[Lack of Sleep and Hormone Havoc]  Lack of sleep causes hormone havoc  and hormone havoc leads to more sleep issues. So how can you stop this vicious cycle and start sleeping better NOW?  Dr. Brooke of Better By Dr Brooke has some SIMPLE answers for you.,2019-06-30T23:00:00+0000,2195376730539617_2243658279044795,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Jordan Noel Stewart,2019-06-30T23:55:12+0000,0,,
0_7,188480801229230_2195376730539617,696b19ae984d9c0f2dd6aa8e154058f9e28dad77,[Lack of Sleep and Hormone Havoc]  Lack of sleep causes hormone havoc  and hormone havoc leads to more sleep issues. So how can you stop this vicious cycle and start sleeping better NOW?  Dr. Brooke of Better By Dr Brooke has some SIMPLE answers for you.,2019-06-30T23:00:00+0000,2195376730539617_2243667025710587,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,Jean Lankford,2019-07-01T00:03:37+0000,0,,
2_0,188480801229230_2159539570790000,696b19ae984d9c0f2dd6aa8e154058f9e28dad77,[Why You Should Try Bottoms-Up Kettlebell Training]  The bottoms-up position refers to a kettlebell held vertically by the handle with the bottom of the kettlebell facing up and the handle on the bottom — hence the name “bottoms-up.”  It might elicit some funny looks from across the gym floor  but the bottoms-up position packs a serious punch.  Click here to check out this article from Haley Shevener to learn 6 benefits of bottoms-up kettlebell training  when you (or your clients!) should use this technique  and more.,2019-06-30T13:15:00+0000,2159539570790000_2244608138949809,pageowner,1,"We love bottoms-up training, too! So glad you enjoyed the article, and thank you for your feedback.",2019-07-01T13:54:43+0000,1,,
2_1,188480801229230_2159539570790000,696b19ae984d9c0f2dd6aa8e154058f9e28dad77,[Why You Should Try Bottoms-Up Kettlebell Training]  The bottoms-up position refers to a kettlebell held vertically by the handle with the bottom of the kettlebell facing up and the handle on the bottom — hence the name “bottoms-up.”  It might elicit some funny looks from across the gym floor  but the bottoms-up position packs a serious punch.  Click here to check out this article from Haley Shevener to learn 6 benefits of bottoms-up kettlebell training  when you (or your clients!) should use this technique  and more.,2019-06-30T13:15:00+0000,2159539570790000_2243469405730349,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,BU training is great!  Takes it to a new level.,2019-06-30T20:59:21+0000,0,,
