category,by,post_id,post_link,post_message
fitness,fitness,17110490676_10156299052350677,https://www.facebook.com/17110490676/posts/10156299052350677/,That s enough for today.
fitness,fitness,17110490676_10156308472750677,https://www.facebook.com/17110490676/posts/10156308472750677/,Dear Trainer  I can t feel my legs when I m with you.
fitness,fitness,17110490676_10156416911970677,https://www.facebook.com/17110490676/posts/10156416911970677/?substory_index=0,C. Both!
fitness,fitness,17110490676_10156415052630677,https://www.facebook.com/17110490676/posts/10156415052630677/,Yay for fizzy OJ!
fitness,fitness,17110490676_10156417112300677,https://www.facebook.com/17110490676/posts/10156417112300677/, Vanessa and I have always said we would both like to carry. The woman s body is incredible  via Parents
fitness,fitness,17110490676_10156419992060677,https://www.facebook.com/17110490676/posts/10156419992060677/,My heart says yes but my pillow says no 😴 via Health
fitness,fitness,17110490676_10156297524135677,https://www.facebook.com/17110490676/posts/10156297524135677/,A new study found that people eat 1 300 calories a week in office snacks  and it s often junk food. Here s how to eat healthier at work.
fitness,fitness,17110490676_10156425093130677,https://www.facebook.com/17110490676/posts/10156425093130677/,The Peach Citrus White Tea drink  or Keto White Drink  is made from unsweetened peach citrus white tea  a splash of heavy cream  2-4 pumps of sugar-free vanilla syrup  no water  and light ice
fitness,fitness,17110490676_10156417810225677,https://www.facebook.com/17110490676/posts/10156417810225677/,Abs circuits are always better with a buddy. Give us a 💪 if you re feeling inspired by Janine Delaney and Buns & Gunz Training #trainertrick.
fitness,fitness,17110490676_10156400116945677,https://www.facebook.com/17110490676/posts/10156400116945677/,Shout out to my trainer 🙌
fitness,fitness,17110490676_10156400119580677,https://www.facebook.com/17110490676/posts/10156400119580677/,The struggle is real.
fitness,fitness,17110490676_10156401513030677,https://www.facebook.com/17110490676/posts/10156401513030677/,There s a reason there s no UPWARD cat pose.  😹
fitness,fitness,17110490676_10156421490265677,https://www.facebook.com/17110490676/posts/10156421490265677/,Alabama resident Marshae Jones was five months pregnant when she was shot in the stomach. Now she is being charged with manslaughter. via Parents
fitness,fitness,17110490676_10156308398610677,https://www.facebook.com/17110490676/posts/10156308398610677/,Tag the dog mom in your life and wish her a happy #mothersday
fitness,fitness,17110490676_10156415572555677,https://www.facebook.com/17110490676/posts/10156415572555677/,NOOOOO 🍷
fitness,fitness,17110490676_10156296150820677,https://www.facebook.com/17110490676/posts/10156296150820677/,More and more people are open to same-sex friskiness  says science.
fitness,fitness,17110490676_10156399477830677,https://www.facebook.com/17110490676/posts/10156399477830677/,No  we re not kidding.These low-carb  3-ingredient Cauliflower English Muffins are just 82 calories each. via EatingWell  RECIPE HERE: https://trib.al/6SjSBMm
fitness,fitness,17110490676_10156406835410677,https://www.facebook.com/17110490676/posts/10156406835410677/, I look at her and think  miracles do happen.   via Parents
fitness,fitness,17110490676_10156421542895677,https://www.facebook.com/17110490676/posts/10156421542895677/,The beach is going to get whatever body I give it! via Health
fitness,fitness,17110490676_10156419894110677,https://www.facebook.com/17110490676/posts/10156419894110677/, We wanted to show that body hair is a choice; shave it  wax it  grow it  or do a bit of both. All are valid. 
fitness,fitness,17110490676_10156415466755677,https://www.facebook.com/17110490676/posts/10156415466755677/, I wanna hit that buzzer for all of the moms out there  not just for me  but I feel like it s a  we. 
fitness,fitness,17110490676_10156404005595677,https://www.facebook.com/17110490676/posts/10156404005595677/,Hey there  Miss New Booty. 🍑    This 30-Day Squat Challenge That Will Totally Transform Your Butt: https://trib.al/JQNBndJ
fitness,fitness,17110490676_10156422055785677,https://www.facebook.com/17110490676/posts/10156422055785677/,Tomorrow s breakfast 🍴 via EatingWell
fitness,fitness,17110490676_10156357889155677,https://www.facebook.com/17110490676/posts/10156357889155677/,Who are you and what have you done with my BFF?!
fitness,fitness,17110490676_10156324768070677,https://www.facebook.com/17110490676/posts/10156324768070677/,So. Much. Broccoli! Here are 20 thoughts you probably have while meal prepping for the week: https://trib.al/OMd5Mg1    Featuring: Christina Wolfgram
fitness,fitness,17110490676_10156417824250677,https://www.facebook.com/17110490676/posts/10156417824250677/,Tag the dog mom in your life 🐶
fitness,fitness,17110490676_10156299092515677,https://www.facebook.com/17110490676/posts/10156299092515677/,Doctors told this mom she was going to have her third girl  but then she unexpectedly gave birth to a baby boy. via Health
fitness,fitness,17110490676_10156360423875677,https://www.facebook.com/17110490676/posts/10156360423875677/,Baby got back 🍑
fitness,fitness,17110490676_10156406187040677,https://www.facebook.com/17110490676/posts/10156406187040677/,Margaritas= instant party 🎉 via Cooking Light
fitness,fitness,17110490676_10156360342785677,https://www.facebook.com/17110490676/posts/10156360342785677/,This one s for the ladies! Tag your squad  because trainers Jeanette Jenkins - The Hollywood Trainer    Beth Alexander Fitness and Liz Holtz have a fun way to get your Leg Day in with your crew.  Try these 10 Butt Exercises 15-25reps🍑you can pick your faves & have some fun!  1) #SquatJumps 2) #SquatJacks 3) #Squat to #Reverse Lunge  4) #ButtBlaster Tap Side & Back  5) Modified #Arabesque  6) #Warrior3  7) Plank Walk Up to Squat  8) Squat Hold with Pulse  9) #ShoulderBridge with Abduction  10) #StepUps
fitness,fitness,17110490676_10156399479535677,https://www.facebook.com/17110490676/posts/10156399479535677/,We can t stop watching @theback50ksm s upside down crunches (with a 6lb med ball!) . How are crushing your outdoor workouts?
fitness,fitness,17110490676_10156423321610677,https://www.facebook.com/17110490676/posts/10156423321610677/,#Adulting
fitness,fitness,17110490676_10156419998085677,https://www.facebook.com/17110490676/posts/10156419998085677/,@oj_istayfit s TRX single arm row and scorpion move are a killer 🔥 Tag someone who should try this workout. #TrainerTrick
fitness,fitness,17110490676_10156420190990677,https://www.facebook.com/17110490676/posts/10156420190990677/, My initial reaction:  You should probably stop looking for them.  
fitness,fitness,17110490676_10156300788800677,https://www.facebook.com/17110490676/posts/10156300788800677/,*Avoids every staircase in sight* 😫
fitness,fitness,17110490676_10156337936675677,https://www.facebook.com/17110490676/posts/10156337936675677/,This bad habit can turn your lungs black. via Health
fitness,fitness,17110490676_10156357567960677,https://www.facebook.com/17110490676/posts/10156357567960677/?substory_index=0,Burnout= is occupational syndrome that results from chronic workplace stress that has not been successfully managed. Learn how you can address burnout plus ways to avoid it:  https://trib.al/moDHYR8
fitness,fitness,17110490676_10156423443805677,https://www.facebook.com/17110490676/posts/10156423443805677/,Expert tips for overcoming hormone shifts and metabolism dips to shrink ab fat—no matter what decade you re in
fitness,fitness,17110490676_10156386243015677,https://www.facebook.com/17110490676/posts/10156386243015677/,Break a sweat at home without disturbing your neighbors (or knees) with this HIIT workout: https://trib.al/6iyBWDk
fitness,fitness,17110490676_10156399550995677,https://www.facebook.com/17110490676/posts/10156399550995677/,Nike master trainer Kirsty Godson breaks down this total-body burpee exercise that burns every. single. muscle: https://trib.al/bHOgthM
fitness,fitness,17110490676_10156324447160677,https://www.facebook.com/17110490676/posts/10156324447160677/?substory_index=0,How to Build Your Own Workout Routine for Weight Loss: https://trib.al/AwyxNjK
fitness,fitness,17110490676_10156399488430677,https://www.facebook.com/17110490676/posts/10156399488430677/,Tag your squad and tell them to get dressed 🍴via When You re Obsessed With
fitness,fitness,17110490676_10156390242275677,https://www.facebook.com/17110490676/posts/10156390242275677/,WE NEED FOOD 🍴
fitness,fitness,17110490676_10156399568745677,https://www.facebook.com/17110490676/posts/10156399568745677/,Sculpt a strong core with Astrid Swan s favorite abs exercises: https://trib.al/RquVzhC
fitness,fitness,17110490676_10156351974935677,https://www.facebook.com/17110490676/posts/10156351974935677/,Other than seek shade immediately.
fitness,fitness,17110490676_10156408061770677,https://www.facebook.com/17110490676/posts/10156408061770677/,There’s no reason a cozy night in can’t be spiked
fitness,fitness,17110490676_10156425724160677,https://www.facebook.com/17110490676/posts/10156425724160677/,One writer tries it and details her experience.
fitness,fitness,17110490676_10156415028425677,https://www.facebook.com/17110490676/posts/10156415028425677/,Challenge your core and reveal abs that wow with these plank variations. Try each move for 45 seconds.
fitness,fitness,17110490676_10156294329230677,https://www.facebook.com/17110490676/posts/10156294329230677/, Now when people ask how I went from a size 22 to a size 6  I tell them I did it one step at a time. 
fitness,fitness,17110490676_10156414997905677,https://www.facebook.com/17110490676/posts/10156414997905677/,This is a new scary side effect of constant cell phone use. via Health
fitness,fitness,17110490676_10156359738185677,https://www.facebook.com/17110490676/posts/10156359738185677/,What song gets you moving? 💃 Josephd_fit has us ready to sweat it out at our #ShapeBodyShop event on June 15th in LA. Head to shapebodyshop.com to sign up for his class and more from your favorite trainers before they sell out.
fitness,fitness,17110490676_10156417207665677,https://www.facebook.com/17110490676/posts/10156417207665677/, Size is nothing but a number!! Rock that beach body!!!! 
fitness,fitness,17110490676_10156324919020677,https://www.facebook.com/17110490676/posts/10156324919020677/,These thigh-slimming exercises will work every angle of your lower body to build super strong legs—and all you need is your bodyweight: https://trib.al/5KZdLTl
fitness,fitness,17110490676_10156312493595677,https://www.facebook.com/17110490676/posts/10156312493595677/,Top fitness experts share their go-to move for sculpted hips and thighs: https://trib.al/DWA0HcA
fitness,fitness,17110490676_10156407464515677,https://www.facebook.com/17110490676/posts/10156407464515677/,Think you re fit? Not until you ve mastered these moves.
fitness,fitness,17110490676_10156308397415677,https://www.facebook.com/17110490676/posts/10156308397415677/,Activemumlife might have a set of twins and a newborn baby girl  but that hasn t stopped her from squeezing in workouts and making it fun for her baby squad.
